AIFM1,AK4,ALDOA,ANGPT1,ARG1,BATF,CCL2,CD180,CD200R1,CDC20,CEACAM1,CEACAM3,CEBPB,CYP26C1,DAPP1,DCTN6,ECHS1,EFNA1,EGF,EHHADH,EIF4B,FCAR,FOXP3,FZD2,GLUD1/2,HADHB,HLA-DQA1,HLA-DQB1,HLA-DQB2,ID2,IL6R,INPP5D,IRF4,IRS1,JARID2,KIR3DL1/2,LAMTOR3,MAP3K8,MAPK3,MCL1,MMP9,MS4A1,PDCD1LG2,PDGFRA,PIK3R1,PML,PPP2CB,PPP2R5A,PSMB9,RHEB,RRAS,SELL,SESN1,SLC7A5,SOCS1,SOCS3,TICAM1,TNFAIP3,TOX2,TPSAB1/B2,TRDC,TRDV2,TRGV3/5,TRGV9,VTCN1,XCL1/2,YY1
7.523738448,5.809492931,11.30734477,4.809492931,0.809492931,7.184532362,4.616847853,7.728356168,9.131421025,5.667473926,5.896955772,3.809492931,10.30734477,2.809492931,9.409405773,8.792486505,7.886308528,5.45334912,3.809492931,5.057420444,12.8722137,7.786772854,6.481918272,3.979417932,10.68600988,9.333054887,10.38692176,9.710359739,11.20823662,11.45605164,8.085617336,11.52287945,8.481918272,5.763689241,6.896955772,6.979417932,8.943919251,9.289273195,9.85388705,10.58427999,5.45334912,9.367913644,4.394455431,3.394455431,10.55600725,6.301346027,9.398207566,10.13592242,10.71186805,9.639215666,6.979417932,12.62167024,8.260704042,7.831860744,7.928434003,7.348651742,7.809492931,11.58674825,4.268924549,4.896955772,10.9503227,7.786772854,6.509932649,4.131421025,4.716383526,7.95924005,10.72686501
7.401371779,6.553374873,10.99453143,5.174863249,2.53100706,7.174863249,4.923324482,7.982218171,9.505421649,4.231446778,6.022860156,4.437897655,9.936148523,3.990438678,10.28923027,8.948859574,7.788394902,5.231446778,5.388988055,5.285894562,12.8565936,7.888559064,6.338361982,4.778934573,10.83135962,9.602469422,11.15854094,10.21575568,9.567180672,11.48520337,8.196342977,11.5930532,8.843890015,6.258927514,7.022860156,7.16036368,9.536631609,9.360729795,9.519691746,10.74896476,5.923324482,10.1475559,4.11596956,4.923324482,11.17576465,6.203432401,9.655128371,9.988387939,10.76462674,9.965635287,6.639531516,12.63593336,8.66543338,7.100862668,7.690878396,5.285894562,7.100862668,11.53803433,3.990438678,3.700932061,10.76702125,6.888559064,8.272474046,3.700932061,4.11596956,8.547815347,10.64865016
7.265085179,6.482072218,11.01127411,5.415576806,3.495011273,7.088535788,3.272618852,6.954442892,9.240325449,3.495011273,6.062695783,4.079973774,9.977675198,3.935583865,9.70028089,9.124367893,7.664936275,4.14708797,5.045208356,5.570299401,12.68059469,6.331512541,5.935583865,4.14708797,10.66993696,9.281980955,10.83740347,9.781734037,8.911658026,11.55840635,7.995995382,11.71487124,7.97305857,5.272618852,6.785688434,8.265085179,8.959119379,9.70863629,9.682009788,10.62208439,5.570299401,9.618393689,3.495011273,4.495011273,11.1522021,6.495011273,9.193467905,9.933209058,10.71348802,9.984572558,6.345867834,12.42532621,8.533146402,7.62429429,7.442543854,5.857581353,7.171472129,11.48003997,4.009584446,3.38809607,11.83803832,8.867565441,8.816939368,5.009584446,4.009584446,8.167436615,10.66565172
6.860822657,6.2220889,11.12654251,5.776289147,4.918308152,6.472897004,2.725663074,7.763798203,8.35293638,4.240236247,7.679859384,7.240236247,11.11429545,3.240236247,10.73928484,9.972234034,7.005770993,5.344572907,6.2220889,4.166235665,12.57383888,8.860822657,5.962702271,3.503270653,11.096973,9.98708643,2.503270653,2.240236247,10.29660301,11.74326689,7.918308152,12.03919399,7.782494297,6.394041583,7.807051401,6.872504462,9.828201236,10.0857263,9.000457193,10.86594509,7.047591169,10.95448176,3.240236247,3.825198748,12.30444009,6.185094693,9.357100005,9.684837061,10.16504875,10.25481471,6.185094693,12.27503521,8.825198748,9.512632756,7.503270653,6.203710371,7.377739771,12.28463037,2.918308152,4.725663074,9.702942998,4.166235665,7.137476672,4.673195654,3.61874787,7.48816376,10.3684884
6.977032104,6.73417558,11.06807632,4.149213079,4.997209986,7.366443796,4.149213079,7.149213079,8.914747826,4.527724703,7.595469309,6.582172487,11.13334667,3.634639907,9.286716603,8.716028233,7.568751971,3.827284985,4.527724703,5.527724703,12.66136094,8.758022322,5.871679104,4.412247485,10.61681863,9.219602407,3.827284985,3.412247485,10.65383347,11.5619946,8.253549739,11.79162585,8.404713813,6.441994829,7.366443796,8.709928034,9.007194075,9.541530502,9.131065733,11.24408251,7.987156321,9.517282956,3.997209986,4.149213079,11.21422523,6.634639907,9.070458968,9.240912914,10.62980135,9.588836217,6.184836989,12.21530227,8.202324416,7.094071525,7.381873836,6.73417558,7.253549739,11.03063299,3.827284985,3.412247485,10.91607322,5.914747826,7.094071525,3.634639907,5.075212498,8.666488773,10.37803177
7.082970588,6.930967494,11.21362695,6.263542834,4.346004994,6.87651971,5.263542834,7.904000447,7.957439706,5.761042493,6.461482211,5.498008087,10.67990573,4.761042493,10.0371669,9.380651137,7.602344747,4.635511611,5.930967494,5.498008087,12.62471256,9.176079992,5.635511611,4.635511611,10.73066884,9.295021065,3.176079992,3.498008087,11.26221622,11.92343382,7.602344747,11.73258605,9.551119424,6.848505334,8.008970006,8.034060987,9.351005675,10.76853703,9.395248513,10.98021101,7.983434914,11.74498615,4.635511611,5.699641948,11.37206729,6.424007506,9.008970006,10.10977065,10.51815466,10.00580273,6.385533358,12.57428925,7.917546979,8.274112075,8.533631997,7.461482211,7.385533358,12.73066884,4.761042493,4.983434914,10.22592854,6.568397415,8.699641948,4.983434914,4.983434914,8.130276303,10.63960437
7.134305555,6.143238679,11.10945037,4.125316771,5.326950633,6.722251914,2.610743599,7.079513082,8.692131925,4.661369672,6.262820295,3.710279272,10.52790253,4.125316771,9.42909752,9.336718409,7.792073363,3.973313678,3.388351177,5.388351177,12.91174978,7.77493223,6.032207367,3.388351177,10.741498,9.348353109,11.05190928,9.512472489,8.440013297,12.21118753,7.983297767,11.75248583,8.531309131,7.212779613,7.279122107,7.661369672,9.154327858,10.49948685,9.549902998,10.87619121,5.326950633,10.1860127,3.503828395,3.803388676,11.00367428,6.447244866,9.384589258,10.03220737,10.66912195,9.763390609,6.373244285,12.83508988,8.806203692,8.022557197,8.326950633,5.869477867,7.041793416,12.83887513,3.262820295,5.326950633,11.50209334,8.757584987,6.178428108,3.973313678,3.973313678,8.357977528,10.5532581
6.417062101,6.886547384,11.18422793,6.623512978,5.038550478,5.716622383,5.886547384,8.002024602,7.417062101,5.038550478,6.804085224,4.301584883,11.43772157,3.716622383,9.856173735,9.316535225,7.623512978,5.886547384,5.523977305,6.301584883,12.50941268,7.301584883,6.176054001,4.301584883,10.78271157,9.389047725,5.038550478,4.716622383,11.85617374,11.75554137,7.623512978,11.53998962,8.549512397,6.417062101,6.964549896,6.886547384,9.192355814,10.25578119,9.682406667,10.4979821,6.176054001,11.05647239,4.716622383,3.716622383,11.29026957,6.804085224,9.056472386,9.935790903,10.18422793,9.611440146,7.038550478,11.74728952,7.471509885,8.389047725,7.623512978,6.301584883,8.002024602,11.75004538,4.716622383,6.176054001,10.1344749,7.716622383,7.8459054,4.301584883,4.301584883,7.574603378,10.28647799
7.074742379,6.442474163,11.25753718,5.120546068,5.236023286,7.164940188,3.995015186,7.381073619,8.816354338,4.34293849,7.953436082,7.745036933,11.27283091,3.120546068,9.402862307,8.910622999,7.29047107,3.34293849,3.857511662,5.34293849,12.69419326,8.215063667,5.893135572,3.857511662,10.71300311,9.273675827,2.535583568,1.535583568,9.15396907,11.81519415,7.79297141,11.82444964,7.664866585,5.120546068,6.944974504,7.725408126,8.715492658,9.769203244,9.483950799,11.15763539,8.066965028,9.957648334,3.857511662,3.995015186,11.45220949,6.820985786,9.13549641,10.04733622,10.60436185,9.953436082,6.910622999,11.95712247,8.19379505,7.512863491,7.454446805,7.478098073,7.236023286,12.03642545,2.120546068,2.535583568,10.13735436,6.579977687,8.105439176,4.34293849,3.705508569,8.059145524,10.62171979
7.133256563,5.775704558,11.28547956,3.8631674,2.94562956,6.752984482,4.360667059,7.023632072,8.295340811,4.985157924,5.476144277,3.682595154,10.48478837,3.235136177,9.22691567,9.176583995,7.80912756,3.097632653,4.583059481,4.8631674,12.69400879,7.419560748,5.658347608,3.097632653,10.58547269,9.197769325,1.775704558,3.235136177,11.52599283,11.7141815,8.065723405,11.58426659,9.273556395,6.042491099,7.033092401,6.267557655,8.825553108,9.802228001,9.486510992,10.94562956,4.583059481,10.07720075,3.94562956,3.097632653,10.95063024,6.729900869,8.994873079,9.437482656,10.45254316,9.751552526,6.621194609,12.4613294,8.142026773,8.128851384,7.910130879,7.070325307,7.267557655,11.9091679,3.94562956,4.235136177,10.39317202,7.798072371,7.42675625,4.419560748,3.94562956,7.752984482,10.42944534
