feature,importance
CD8B,-299
CRTAM,-300
MAPK9,-301
ENTPD1,-302
BID,-303
MAPK14,-304
OSM,-305
CD19,-306
WNT11,-307
AKT1,-308
BRWD1,-309
IGHG3,-310
ALDH1B1,-311
CD5,-312
OAT,-313
CREB3L2,-314
NFE2L2,-315
FCRL2,-316
PTAFR,-317
PSME2,-318
PVRIG,-319
SP100,-320
IL21R,-321
TUSC2,-322
IL10RA,-323
ITGB8,-324
ANAPC4,-325
GLS2,-326
HLA-DRA,-327
CD163,-328
ACACA,-329
TBX21,-330
LEF1,-331
GZMK,-332
VCAM1,-333
HRAS,-334
CDC14B,-335
ELOVL4,-336
NPRL3,-337
PRKCB,-338
FAM30A,-339
TAF6L,-340
RAG1,-341
TLR2,-342
KLRD1,-343
TRAT1,-344
ALDH1A1,-345
FASLG,-346
DVL1,-347
PTPRS,-348
CD22,-349
PPARGC1A,-350
MAPK1,-351
ZNF683,-352
CREB5,-353
STIM1,-354
APH1A,-355
NFKBIB,-356
TNFRSF10A,-357
CR2,-358
GADD45A,-359
HEY1,-360
ACSL4,-361
RGS16,-362
ROCK1,-363
PPP1CB,-364
GZMH,-365
TNFRSF4,-366
LPL,-367
ACSL6,-368
PIK3CD,-369
HGF,-370
INPPL1,-371
RAC1,-372
GRB10,-373
BTRC,-374
CXCR6,-375
DIABLO,-376
LRP6,-377
PKN2,-378
ITGAL,-379
TRIM2,-380
S100A12,-381
ST3GAL6,-382
RASGRP3,-383
MS4A2,-384
CARD16,-385
GZMB,-386
IKZF1,-387
MYSM1,-388
ITGAX,-389
ACOT1/2,-390
HLA-DPB1,-391
TAX1BP1,-392
KLRB1,-393
FZD7,-394
SMAD4,-395
ATR,-396
SLC2A6,-397
ATP7A,-398
PTGS2,-399
CD28,-400
PSMA1,-401
MCM5,-402
PIK3CA,-403
CD8A,-404
IL1B,-405
NRAS,-406
SPAG9,-407
PDHB,-408
LILRA3,-409
IL6ST,-410
E2F1,-411
ORC2,-412
CNTF,-413
SOCS2,-414
ITGA6,-415
PSMA6,-416
HAVCR2,-417
CAMK2D,-418
TRPC1,-419
ACSL3,-420
CTF1,-421
LILRB4,-422
TRIM35,-423
ADORA2B,-424
LDHAL6A,-425
CDH1,-426
S1PR1,-427
CD14,-428
ITGB3,-429
PPP2R5C,-430
RICTOR,-431
CCR1,-432
MX1,-433
TBK1,-434
CDC16,-435
FPR1,-436
MAPK13,-437
IL15,-438
CDKN1C,-439
CD86,-440
TCF7,-441
LAMP1,-442
IL12RB1,-443
USP15,-444
IL7,-445
SLAMF6,-446
HLA-DPA1,-447
IGHG1,-448
KIR2DL3/4,-449
TAB2,-450
CD6,-451
GBP3,-452
GLS,-453
CPA3,-454
CCNT1,-455
OAS1,-456
BCL2L1,-457
CD72,-458
RASGRP1,-459
NUP54,-460
TRAF2,-461
CRLF2,-462
SUMO1,-463
TRGC1,-464
RGS2,-465
PRKDC,-466
DHRS3,-467
DLD,-468
PIK3R2,-469
FCGR3A/B,-470
CASP9,-471
PTPN22,-472
TRDV1,-473
IFIT1,-474
SMC3,-475
RARB,-476
CD244,-477
FAS,-478
IL10RB,-479
PTK2B,-480
NRL,-481
HDC,-482
PPM1A,-483
TGFB1,-484
PTPN7,-485
E2F5,-486
PNOC,-487
FCGR1A/B,-488
CHEK1,-489
PTGR1,-490
B4GALT1,-491
UBE2I,-492
IRAK3,-493
MX2,-494
UHRF1,-495
CD48,-496
NAA50,-497
PTPRC,-498
PPP3CC,-499
RELA,-500
SMAD2,-501
MAML3,-502
CALM1,-503
SESN2,-504
CIITA,-505
PSMD6,-506
LILRB3,-507
PPP3CA,-508
TGFB2,-509
ZAP70,-510
PPP2R5E,-511
SESN3,-512
PDGFD,-513
LILRB2,-514
LRRK2,-515
GSK3B,-516
GBP2,-517
KDM3A,-518
FBXW4,-519
PDGFRB,-520
KLRG1,-521
KRAS,-522
ITPR1,-523
ACAT2,-524
IFNA4/7/10/17/21,-525
AKT3,-526
HLA-E,-527
TLE4,-528
CD79B,-529
IRF8,-530
TCL1A,-531
IGHD,-532
PIK3R3,-533
SOS1,-534
CCNT2,-535
LYN,-536
GATA3,-537
CYP4A11/22,-538
SYK,-539
CD40LG,-540
ASB4,-541
IRAK4,-542
STAG2,-543
NR4A1,-544
IL18,-545
BTK,-546
CTBP2,-547
NFKB1,-548
ELOVL2,-549
ITGA10,-550
TBL1XR1,-551
HDAC7,-552
PRKAA1,-553
GOT2,-554
NFAT5,-555
SMARCA4,-556
FCER2,-557
DGKA,-558
PLCG1,-559
CD96,-560
MALT1,-561
ICOS,-562
SLC8A1,-563
IL31RA,-564
PIK3CB,-565
SFN,-566
SLC2A3/14,-567
PPP2R5B,-568
NFKBIE,-569
