7.562512673,9.353059308,4.674987402,9.53793465,10.33605288,6.967769152,4.812490926
7.766271948,9.329669099,6.549576257,9.588835687,11.03411445,7.042092509,5.300404504
7.74318064,9.406783589,5.240680299,9.391394696,10.77762128,7.718727596,5.09629039
7.812091893,9.380589793,4.889771257,9.583033373,10.37955449,7.419390724,4.023037788
8.043959077,9.140055667,6.262139247,9.626465926,9.909029497,7.073105423,4.336139829
7.949990286,10.91522487,5.727597864,10.78167454,11.08514987,8.511869173,4.142635363
7.919749206,9.287992494,6.172515276,9.761765136,10.33861857,7.311579314,4.950122855
7.862499437,9.346767938,6.634693519,9.704178619,11.26864471,7.101011523,3.971728506
8.165444135,9.23729442,6.478751747,9.822256921,10.92464531,7.030394175,5.043814691
7.995687962,9.587774897,5.507401481,9.837322366,10.66053124,7.18296653,4.981332669
7.478354945,9.240855631,6.512302277,9.233242447,11.82834696,6.194561979,4.333965036
7.714336827,9.530253763,5.188268015,9.678838146,11.02318145,6.811198366,5.003843444
7.96686306,9.33016159,6.281427767,9.36740099,10.68534923,6.852259939,4.951038093
7.876788532,9.373119733,5.760064926,9.581247701,10.21284987,7.19122209,6.413614511
7.784275987,9.284827304,5.175466744,9.380233495,10.29149874,7.332510454,4.817012773
7.886308528,9.398207566,7.348651742,9.85388705,10.55600725,7.184532362,3.809492931
7.788394902,9.655128371,5.285894562,9.519691746,11.17576465,7.174863249,4.437897655
7.664936275,9.193467905,5.857581353,9.682009788,11.1522021,7.088535788,4.079973774
7.005770993,9.357100005,6.203710371,9.000457193,12.30444009,6.472897004,7.240236247
7.568751971,9.070458968,6.73417558,9.131065733,11.21422523,7.366443796,6.582172487
7.602344747,9.008970006,7.461482211,9.395248513,11.37206729,6.87651971,5.498008087
7.792073363,9.384589258,5.869477867,9.549902998,11.00367428,6.722251914,3.710279272
7.623512978,9.056472386,6.301584883,9.682406667,11.29026957,5.716622383,4.301584883
7.29047107,9.13549641,7.478098073,9.483950799,11.45220949,7.164940188,7.745036933
7.80912756,8.994873079,7.070325307,9.486510992,10.95063024,6.752984482,3.682595154
7.563299935,9.039328065,7.076560971,9.172109178,11.83008648,6.770624909,4.826334341
7.678312707,9.20987006,7.266886461,9.330389404,11.72959321,6.656453273,4.481011267
7.567125735,9.096824217,6.509410237,9.284869349,11.00648813,7.123519084,6.161486934
7.742608649,9.132145776,7.014688194,9.452885978,10.92629418,6.616724208,6.6419615
7.635816177,9.230520072,6.801826128,9.372781771,11.0925796,6.922120362,5.941229185
7.701720829,9.451905712,6.158406025,9.395178625,11.4442593,6.980763111,6.743368526
7.372546685,9.225384377,6.697551984,9.305554726,11.95750919,6.959219554,5.427944924
7.322115512,9.193059411,6.979463938,9.0322054,11.14083708,6.665189416,6.179762589
