feature,importance
KLRC2/3,0.0
KLRD1,0.0
KLRG1,0.0
KLRK1,0.0
KRAS,0.0
LAG3,0.0
LAIR1,0.0
LAMP1,0.0
LAMTOR3,0.0
LCK,0.0
LCP2,0.0
LDHA,0.0
LDHAL6A,0.0
LEF1,0.0
LEPR,0.0
LGALS9,0.0
LILRA1,0.0
LILRA3,0.0
LILRA4,0.0
LILRB1,0.0
LILRB2,0.0
LILRB3,0.0
LILRB4,0.0
LPAR1,0.0
LPL,0.0
LRP6,0.0
LRRK2,0.0
LTBP1,0.0
LYN,0.0
MALT1,0.0
MAML3,0.0
MAP2K2,0.0
MAP3K8,0.0
MAPK1,0.0
MAPK11,0.0
MAPK13,0.0
MAPK14,0.0
ZNF683,0.0
MAPK8,0.0
MAPK9,0.0
MBD3,0.0
MCL1,0.0
MCM5,0.0
MCM7,0.0
MIF,0.0
MMP14,0.0
MMP9,0.0
MRAS,0.0
MS4A1,0.0
MS4A2,0.0
MS4A4A,0.0
MX1,0.0
MX2,0.0
MYSM1,0.0
NAA50,0.0
NCF4,0.0
NCR1,0.0
NCR3,0.0
NFAT5,0.0
NFATC1,0.0
NFATC2,0.0
NFATC3,0.0
NFATC4,0.0
NFE2L2,0.0
NFIL3,0.0
NFKB1,0.0
NFKB2,0.0
NFKBIA,0.0
NFKBIB,0.0
NFKBIE,0.0
NKG7,0.0
NOTCH2,0.0
NPRL3,0.0
NR4A1,0.0
NRAS,0.0
NRL,0.0
NT5E,0.0
NUP54,0.0
OAS1,0.0
OAS2,0.0
OAS3,0.0
OAT,0.0
ORC2,0.0
ORC4,0.0
OSM,0.0
PBX1,0.0
PBX3,0.0
PCTP,0.0
PDCD1,0.0
PDCD1LG2,0.0
PDGFD,0.0
PDGFRA,0.0
PDGFRB,0.0
PDHB,0.0
PDK4,0.0
PECAM1,0.0
PHC3,0.0
PIAS1,0.0
PIAS2,0.0
PIK3AP1,0.0
PIK3CA,0.0
PIK3CB,0.0
PIK3CD,0.0
ACACA,0.0
PIK3R2,0.0
PIK3R3,0.0
PKN2,0.0
PLCG1,0.0
PLCG2,0.0
PLSCR1,0.0
ACADVL,0.0
PNOC,0.0
PPARG,0.0
PPARGC1A,0.0
PPM1A,0.0
PPM1F,0.0
PPP1CB,0.0
PPP2CA,0.0
PPP2CB,0.0
PPP2R1A,0.0
PPP2R1B,0.0
PPP2R5A,0.0
PPP2R5B,0.0
PPP2R5C,0.0
PPP2R5E,0.0
PPP3CA,0.0
PPP3CC,0.0
PPP3R1,0.0
PPT1,0.0
PRDM1,0.0
PRF1,0.0
PRKAA1,0.0
PRKCB,0.0
PRKCZ,0.0
PRKDC,0.0
PSMA1,0.0
PSMA6,0.0
PSMB10,0.0
PSMB9,0.0
PSMC6,0.0
PSMD6,0.0
PSME2,0.0
PTAFR,0.0
PTGER4,0.0
PTGR1,0.0
PTGS2,0.0
PTK2B,0.0
PTPN11,0.0
PTPN18,0.0
PTPN2,0.0
PTPN22,0.0
PTPN6,0.0
PTPN7,0.0
PTPRC,0.0
PTPRJ,0.0
PTPRK,0.0
PTPRS,0.0
PVRIG,0.0
PYCR1,0.0
PYCR2,0.0
RAC1,0.0
RAG1,0.0
RARA,0.0
RARB,0.0
RASGRP1,0.0
RASGRP3,0.0
RBL2,0.0
RBX1,0.0
RELA,0.0
RGS16,0.0
RGS2,0.0
RHEB,0.0
RICTOR,0.0
ROCK1,0.0
RORA,0.0
RORgt,0.0
RRAGC,0.0
RRAS,0.0
RSAD2,0.0
S100A12,0.0
S1PR1,0.0
SCP2,0.0
SEL1L,0.0
SELL,0.0
SEMA4D,0.0
SESN1,0.0
SESN2,0.0
SESN3,0.0
SF3B1,0.0
SFN,0.0
SH2D1A,0.0
SIGLEC1,0.0
SIGLEC5,0.0
SIGLEC6,0.0
SLAMF6,0.0
SLC2A12,0.0
SLC2A3/14,0.0
SLC2A6,0.0
SLC7A5,0.0
SLC8A1,0.0
SMAD2,0.0
SMAD3,0.0
SMAD4,0.0
SMARCA4,0.0
SMC3,0.0
SOCS1,0.0
SOCS2,0.0
ACAT2,0.0
SOS1,0.0
SP100,0.0
SPAG9,0.0
SPIB,0.0
ST3GAL6,0.0
STAG2,0.0
STAT1,0.0
STAT3,0.0
STAT4,0.0
STAT5A,0.0
STAT5B,0.0
STIM1,0.0
SUMO1,0.0
SYK,0.0
TAB2,0.0
TAF6L,0.0
TAPBP,0.0
TAX1BP1,0.0
TBK1,0.0
TBL1XR1,0.0
TBX21,0.0
TCF7,0.0
TCL1A,0.0
TELO2,0.0
TGFB1,0.0
TGFB2,0.0
TICAM1,0.0
TIGIT,0.0
TIMP1,0.0
TLE4,0.0
TLR1,0.0
TLR10,0.0
TLR2,0.0
TLR7,0.0
TMED2,0.0
TNF,0.0
ACOT1/2,0.0
TNFRSF10A,0.0
TNFRSF14,0.0
TNFRSF17,0.0
TNFRSF18,0.0
TNFRSF1A,0.0
TNFRSF1B,0.0
TNFRSF4,0.0
TNFRSF9,0.0
TNFSF10,0.0
TNFSF4,0.0
TNFSF9,0.0
TOX,0.0
TOX2,0.0
TOX4,0.0
TPP2,0.0
TPSAB1/B2,0.0
TRAC,0.0
TRAF2,0.0
TRAT1,0.0
TRBC1/2,0.0
TRDC,0.0
TRDV1,0.0
TRDV2,0.0
TRDV3,0.0
TREM2,0.0
TRGC1,0.0
TRGC2,0.0
TRGV2,0.0
TRGV3/5,0.0
TRGV4,0.0
TRGV8,0.0
TRGV9,0.0
TRIM2,0.0
AIFM1,0.0
TRIM35,0.0
TRIM46,0.0
TRPC1,0.0
TRPM7,0.0
TTK,0.0
TUSC2,0.0
TYK2,0.0
TYROBP,0.0
UBE2D1,0.0
UBE2I,0.0
UCP1,0.0
UHRF1,0.0
USP15,0.0
VAV2,0.0
VCAM1,0.0
ATM,0.0
VDAC1,0.0
VEGFA,0.0
VSIR,0.0
VTCN1,0.0
WNT11,0.0
XAF1,0.0
XCL1/2,0.0
XIAP,0.0
YES1,0.0
YWHAZ,0.0
ACSL3,0.0
ZAP70,0.0
ZBTB16,0.0
ZFP36L2,0.0
AK4,0.0
