1416,85,79,377,10,2633,3,5
1011,78,59,332,0,3960,0,0
453,91,41,237,6,506,0,2
749,509,57,227,0,637,0,0
1416,10,62,65,2,603,6,0
1053,747,66,831,0,2368,34,0
1611,11,54,98,5,1802,15,0
2364,160,205,142,23,2397,3,3
1600,512,67,419,4,1637,0,21
2499,21,90,301,19,649,0,13
1951,130,240,333,0,5453,0,2
1166,56,98,385,3,3913,0,8
1832,68,107,693,20,1780,14,23
1328,58,58,351,12,3019,0,8
1558,26,93,543,1,4697,0,0
1604,50,90,683,17,2538,17,4
1284,72,89,484,16,1294,0,9
431,721,0,80,12,388,0,0
879,122,123,512,38,1109,21,107
1249,77,348,565,21,2551,0,0
901,8,156,146,0,844,0,0
2416,0,265,488,5,627,0,0
947,0,114,215,0,1217,0,0
1317,2,113,627,0,447,0,0
1284,0,19,268,0,264,0,0
610,21,216,11,0,34,0,0
403,3,34,399,0,308,0,1
1001,0,119,237,10,69,0,0
1124,33,145,167,2,575,2,2
1327,40,471,474,3,922,6,4
1057,47,390,366,6,1300,3,5
1062,68,375,299,8,669,2,12
1504,72,443,628,4,310,1,1
1443,70,651,512,14,194,2,2
876,80,362,398,0,280,11,8
1053,37,191,210,2,439,2,2
1399,57,162,481,3,2874,10,4
561,29,276,259,4,51,0,36
