feature,importance
CD226,0.0
CD22,0.0
CD19,0.0
CD163,0.0
CD160,0.0
HLA-DRA,0.0
HLA-DPB1,0.0
HLA-DPA1,0.0
HIPK1,0.0
HGF,0.0
HEY1,0.0
HDC,0.0
HDAC9,0.0
HDAC7,0.0
HAVCR2,0.0
HADHB,0.0
GZMM,0.0
GZMK,0.0
GZMH,0.0
GZMB,0.0
GZMA,0.0
IGHG1,0.0
IGHD,0.0
IGHA1,0.0
IFNG,0.0
IFNA6,0.0
IFNA5,0.0
IFNA4/7/10/17/21,0.0
IFIT3,0.0
IFIT1,0.0
IDO1,0.0
ICOS,0.0
ICAM1,0.0
HRAS,0.0
HMGB1,0.0
HLA-E,0.0
IL15,0.0
IL13RA1,0.0
IL12RB1,0.0
IL12A,0.0
IL11RA,0.0
IL10RB,0.0
IL10RA,0.0
IL10,0.0
IKZF1,0.0
IGLC1,0.0
IGKC,0.0
IGHV4-59,0.0
IGHM,0.0
IGHG4,0.0
IGHG3,0.0
IGHG2,0.0
IL9R,0.0
IL7R,0.0
IL7,0.0
IL6ST,0.0
IL6,0.0
IL31RA,0.0
IL21R,0.0
IL1RN,0.0
IL1RL1,0.0
IL1R2,0.0
IL1R1,0.0
IL1B,0.0
IL18,0.0
IL16,0.0
ITPR1,0.0
ITGB8,0.0
ITGB3,0.0
ITGAX,0.0
ITGAV,0.0
ITGAL,0.0
ITGAE,0.0
ITGA6,0.0
ITGA10,0.0
ITCH,0.0
IRS1,0.0
IRF8,0.0
IRF4,0.0
IRAK4,0.0
IRAK3,0.0
INPPL1,0.0
KLRD1,0.0
KLRC2/3,0.0
KLRC1,0.0
KLRB1,0.0
KLF2,0.0
KIR2DS1/4,0.0
KIR2DL3/4,0.0
KIR2DL1/2,0.0
KDM3A,0.0
JUNB,0.0
JAK3,0.0
JAK2,0.0
JAG1,0.0
ITPR2,0.0
LILRA4,0.0
LILRA3,0.0
LILRA1,0.0
LGALS9,0.0
LEPR,0.0
LEF1,0.0
LDHAL6A,0.0
LDHA,0.0
LCP2,0.0
LCK,0.0
LAMP1,0.0
LAIR1,0.0
LAG3,0.0
KRAS,0.0
KLRK1,0.0
KLRG1,0.0
CCL3/L1,0.0
CBL,0.0
CASP9,0.0
MAML3,0.0
MALT1,0.0
LYN,0.0
LTBP1,0.0
