1039,3,1923,5757,101,2369,22,22
1250,2,2213,7158,185,2073,44,23
1434,2,1814,8118,131,2570,76,38
664,27,1528,5189,96,440,6,14
127,63,298,989,59,1311,0,22
239,34,784,1625,55,2569,7,27
1332,16,1720,7541,206,3292,53,61
1114,15,1555,5998,161,2064,43,53
1777,3,1983,11818,497,1280,80,117
971,2,1372,6151,161,1177,2,3
1187,3,1899,6492,182,1515,0,5
1126,6,2129,6822,166,3707,26,61
1532,11,2024,8134,186,3969,32,41
1094,12,1387,7012,139,2281,20,55
576,6,1962,2024,53,6676,14,20
1005,0,1723,6099,176,1894,0,0
1254,2,1964,9351,201,2035,27,64
1254,10,2176,8094,302,3635,22,37
959,23,2002,5019,109,2415,11,30
1291,73,2314,6653,217,1515,34,42
659,2,1094,2962,16,2262,74,53
748,4,1751,5573,103,2252,39,27
866,4,1397,5441,154,3148,50,15
1100,0,1792,6735,206,1463,59,54
985,6,1509,6734,207,652,30,32
768,9,1672,4430,86,1926,47,44
378,4,1121,2203,70,2446,52,37
473,12,1709,4455,144,991,23,22
1265,46,2163,7134,193,1051,23,62
1282,7,2368,6739,169,1920,6,28
1428,18,2224,6844,118,936,2,29
1388,2,1889,8594,179,3892,25,14
1139,10,1580,5103,106,3280,13,19
883,8,1522,5018,99,1174,18,13
830,0,2041,5258,49,3162,30,20
240,2,500,1312,65,974,0,13
815,5,1461,4536,96,626,16,41
1207,2,1791,9084,279,520,7,43
1542,17,2181,8689,297,620,16,42
1162,11,2289,8023,141,1645,13,51
1753,96,2309,11488,561,3717,17,115
331,260,725,2776,70,5798,0,18
265,13,1100,2409,50,5740,12,52
1378,12,2064,8887,244,1064,59,67
1575,3,1845,7384,150,1336,8,34
1387,10,1931,7150,184,1045,23,34
1512,1,1855,8710,229,1320,13,31
1174,0,1777,7263,149,928,40,71
1570,0,1845,12439,370,1008,59,77
1125,8,1603,8030,213,1737,53,17
1173,1,1721,7707,235,2866,46,45
1179,5,1992,6663,72,1083,25,40
184,2,265,794,24,1109,3,8
768,16,1817,6366,105,1159,10,26
648,3,1557,4383,70,987,3,32
1056,20,1897,6055,128,2838,20,30
1184,7,1536,9346,380,1166,0,13
