7.16041423,6.967769152,9.728098739,4.812490926,8.69290931,7.562512673,11.27043139,11.65341187,11.78872957,9.512930644,9.53793465,10.33605288,9.353059308,4.674987402,10.78560121,8.728098739
7.042092509,7.042092509,10.19462591,5.300404504,9.561959981,7.766271948,11.09033895,11.59427185,11.71784203,10.04474209,9.588835687,11.03411445,9.329669099,6.549576257,12.22764816,8.839308984
7.257753812,7.718727596,9.892756996,5.09629039,8.700111918,7.74318064,11.00444595,11.41726903,11.70556635,9.470414696,9.391394696,10.77762128,9.406783589,5.240680299,11.12332335,8.324096307
7.378518443,7.419390724,9.718573156,4.023037788,8.374366799,7.812091893,11.18705736,11.40267098,11.67451163,9.17874893,9.583033373,10.37955449,9.380589793,4.889771257,9.749356138,8.188240379
7.249428196,7.073105423,9.11574976,4.336139829,8.511398274,8.043959077,10.87219273,10.93704387,11.42501638,8.987669946,9.626465926,9.909029497,9.140055667,6.262139247,10.27787217,7.742132188
6.464563458,8.511869173,7.879600958,4.142635363,8.049525959,7.949990286,11.20872455,11.53781244,12.71880475,8.201529053,10.78167454,11.08514987,10.91522487,5.727597864,9.888589741,6.017104481
7.357626682,7.311579314,8.962592207,4.950122855,8.243722227,7.919749206,11.32709231,11.62490362,11.41137491,9.387528167,9.761765136,10.33861857,9.287992494,6.172515276,10.43662272,7.619401642
7.463581603,7.101011523,9.81303076,3.971728506,10.06272304,7.862499437,11.51990822,12.08850564,11.5560647,9.988536794,9.704178619,11.26864471,9.346767938,6.634693519,12.56511963,8.468915047
7.243123499,7.030394175,9.251823194,5.043814691,9.143795572,8.165444135,11.27192076,12.36072471,11.48798601,9.864466435,9.822256921,10.92464531,9.23729442,6.478751747,11.11388593,7.689806625
7.195457474,7.18296653,10.03270477,4.981332669,8.841302217,7.995687962,10.80202223,11.2748503,11.74686742,9.870806212,9.837322366,10.66053124,9.587774897,5.507401481,10.72118077,8.880508299
7.063317446,6.194561979,10.69336784,4.333965036,9.238322365,7.478354945,11.07259067,12.04132417,11.65209156,10.83339135,9.233242447,11.82834696,9.240855631,6.512302277,11.81523338,9.467580473
7.27233228,6.811198366,9.972771998,5.003843444,8.216837168,7.714336827,10.72804721,11.74592317,11.67240615,10.15359056,9.678838146,11.02318145,9.530253763,5.188268015,11.14153325,8.370960313
