feature,importance
CD40LG,1.5770213417970974e-19
SUMO1,1.5749679285916324e-19
VDAC1,1.5277394248659382e-19
NAA50,1.5267127182632056e-19
CDC42,1.5154189456331482e-19
JAK2,1.514905592331782e-19
HAVCR2,1.4907779871675686e-19
ZBTB16,1.4784575079347787e-19
WNT11,1.457923375880129e-19
HLA-E,1.457923375880129e-19
SIGLEC1,1.4517631362637343e-19
GLUD1/2,1.4291755910036194e-19
IFNA6,1.4287905760275948e-19
PVRIG,1.4271221777981546e-19
FYN,1.4207052615310764e-19
PDGFD,1.4189085249762945e-19
TRDV2,1.4137749919626322e-19
IGLC1,1.4101815188530686e-19
AQP7,1.394267566510715e-19
CD33,1.390160740099785e-19
CYLD,1.38810732689432e-19
NFATC4,1.3798936740724602e-19
TRDV1,1.3675731948396705e-19
ORC4,1.3655197816342054e-19
CUL2,1.3593595420178106e-19
CFLAR,1.354226009004148e-19
IL16,1.332665170346766e-19
ALDOA,1.310077625086651e-19
USP15,1.3018639722647912e-19
CD80,1.298783852456594e-19
JAG1,1.296730439251129e-19
PHC3,1.2936503194429314e-19
STIM1,1.2895434930320015e-19
SMAD2,1.284666636669022e-19
XCL1/2,1.2813298402101417e-19
TAF6L,1.2813298402101417e-19
CREBBP,1.2607957081554919e-19
MAP2K2,1.2607957081554919e-19
ZFP36L2,1.2402615761008423e-19
PPP2R1B,1.2361547496899122e-19
VSIR,1.2351280430871797e-19
NUP54,1.2330746298817147e-19
TIGIT,1.23102121667625e-19
JAK1,1.2156206176352624e-19
NCR3,1.2033001384024727e-19
PKN2,1.174552353525963e-19
KIR2DS1/4,1.17018885046435e-19
LILRA4,1.1622318742931734e-19
IL1RL1,1.1622318742931734e-19
ZNF683,1.1622318742931734e-19
PDK4,1.1560716346767785e-19
ITCH,1.1519648082658485e-19
TAPBP,1.1499113950603834e-19
RBX1,1.1499113950603834e-19
CD5,1.1334840894166637e-19
BLK,1.1334840894166637e-19
PTAFR,1.1314306762111987e-19
TREM2,1.1273238498002688e-19
KRAS,1.1252704365948038e-19
TNFRSF9,1.1185968436770427e-19
NFKBIB,1.1114098974579153e-19
FGF10,1.1098698375538166e-19
IFNA5,1.108843130951084e-19
PTPRC,1.0883089988964345e-19
STAT5A,1.0862555856909695e-19
RORgt,1.085228879088237e-19
DLL4,1.0842021724855044e-19
TRIM46,1.0831754658827719e-19
CD84,1.0800953460745745e-19
SPIB,1.0780419328691095e-19
TAB2,1.0759885196636446e-19
ACADVL,1.0708549866499821e-19
CD68,1.0616146272253897e-19
APH1A,1.0575078008144598e-19
CD72,1.0487807946912336e-19
SLC2A6,1.047240734787135e-19
KLRG1,1.0349202555543452e-19
LRP6,1.0297867225406827e-19
RASGRP1,1.0225997763215554e-19
SMAD4,1.0225997763215554e-19
DAPP1,1.0225997763215554e-19
CD3E,1.0184929499106254e-19
TCF7,1.0179795966092592e-19
MS4A2,1.0143861234996954e-19
ATR,1.013359416896963e-19
IL6,1.0123327102942305e-19
TUSC2,1.0041190574723706e-19
IL13RA1,9.897451650341158e-20
GRB2,9.748579192944948e-20
OAS3,9.676709730753674e-20
CNTF,9.671576197740012e-20
INPPL1,9.651042065685361e-20
PLCG2,9.589439669521413e-20
MAPK9,9.568905537466763e-20
BST2,9.486769009248164e-20
MAPK8,9.449550894899111e-20
CD244,9.425166613084214e-20
CD3D,9.373831282947591e-20
BID,9.317362419797304e-20
PIK3AP1,9.307095353769979e-20
CCL5,9.266027089660679e-20
EOMES,9.137688764319119e-20
LILRB1,9.045285170073195e-20
ROCK1,9.035018104045871e-20
IL31RA,9.009350438977558e-20
PTPN22,8.993949839936571e-20
ATP7A,8.973415707881921e-20
CDC14B,8.952881575827272e-20
